Time,force_x,force_y,force_z,vibration_x,vibration_y,vibration_z,acoustic_emission_rms,tool_wear,ACTION_CODE
0,0.916,4.37,-1.372,0.102,0.041,0.069,0.018,151.416355,0
176,2.503,-3.577,4.623,-0.11,0.047,-0.036,0.024,158.102847,0
352,1.472,1.999,2.043,0.073,0.16,0.025,0.076,161.061023,0
440,5.873,14.45,-0.357,0.041,-0.07,-0.008,0.072,163.781191,0
704,1.773,5.654,7.195,-0.058,-0.113,-0.109,0.077,168.560421,0
1056,-0.287,-3.773,0.496,0.01,0.075,-0.038,0.181,174.261641,0
1144,-1.572,2.084,-2.298,0.067,0.071,0.074,0.117,175.816664,0
1232,6.064,10.216,-1.264,0.039,-0.004,0.069,0.113,177.216807,0
1408,0.075,-0.798,-3.621,0.017,0.019,0.014,0.165,179.592133,0
1496,2.398,0.646,6.474,0.014,-0.047,-0.102,0.104,179.592133,0
1760,-0.418,8.425,-5.334,-0.077,-0.015,-0.125,0.152,182.230668,0
1848,0.914,1.2,0.711,0.034,0.039,0.041,-0.004,182.230668,0
1936,2.492,-0.115,-0.016,-0.009,0.07,0.008,0.102,182.89769,0
2024,7.157,-4.363,-3.318,-0.138,-0.196,-0.129,0.112,183.471553,0
2112,8.79,-1.573,-0.949,0.029,0.09,0.073,0.148,183.959575,0
2464,3.126,-2.56,9.797,0.123,0.026,0.057,0.147,184.976704,0
2640,3.371,-11.411,-2.745,-0.117,-0.133,-0.219,0.134,185.344857,0
2728,7.052,-1.096,2.204,0.002,0.032,-0.023,0.097,185.344857,0
2816,1.467,6.193,-0.173,-0.054,-0.081,-0.091,0.111,185.453113,0
3080,0.669,0.61,-0.303,-0.05,-0.036,-0.046,-0.004,185.543719,0
3168,1.499,-0.152,-1.988,-0.064,0.018,-0.052,0.099,185.543719,0
3256,6.734,3.656,2.029,-0.075,-0.082,-0.105,0.11,185.543719,0
3344,-0.52,7.568,4.081,0.108,0.078,0.031,0.131,185.543719,0
3608,0.684,3.371,-2.622,0.042,0.067,0.027,0.118,185.543719,0
3696,4.33,-1.269,-5.813,0.132,0.125,0.199,0.11,185.543719,0
3784,-0.739,5.957,4.769,-0.158,-0.158,-0.167,0.094,185.543719,0
3872,5.376,0.317,-3.994,0.048,-0.023,-0.069,0.098,185.945969,0
3960,5.217,11.141,-2.6,-0.035,-0.08,0.022,0.094,185.945969,0
4136,3.387,1.043,-5.107,0.052,0.093,0.11,0.123,186.764133,0
4488,8.562,0.312,-5.431,-0.039,0.061,0.043,0.109,187.955795,0
4576,0.864,7.46,-2.404,-0.077,0.014,-0.1,0.111,188.348553,0
4752,4.301,5.029,1.203,0.032,0.027,-0.029,0.215,188.740823,0
5016,3.934,3.014,-1.746,0.01,0.026,-0.022,0.09,189.923009,0
5104,9.831,29.042,7.051,0.174,0.077,0.065,0.118,190.321136,0
5280,4.23,2.618,5.482,-0.038,-0.05,-0.113,0.112,190.722202,0
5368,8.502,-3.552,16.781,-0.012,-0.062,-0.139,0.104,191.126626,0
5456,-0.237,7.908,-3.541,-0.001,0.03,-0.032,0.121,191.534746,0
5632,5.5,7.78,6.231,-0.04,-0.141,-0.118,0.106,191.94683,0
5720,8.103,0.626,18.246,0.094,0.034,0.037,0.107,192.363075,0
5808,5.767,19.738,5.215,0.132,0.05,0.093,0.107,192.783613,0
5896,2.778,-10.074,-3.265,0.106,-0.029,-0.081,0.115,193.208515,0
5984,5.334,4.566,-2.953,-0.092,-0.049,-0.112,0.182,193.208515,0
6072,2.372,6.743,10.013,-0.005,-0.059,-0.029,0.086,193.637796,0
6248,4.837,14.79,6.943,-0.14,-0.059,-0.105,0.107,194.509295,0
6336,6.07,17.305,1.43,0.155,0.105,0.181,0.11,194.951291,0
6424,2.338,7.136,-1.69,0.107,0.091,0.059,0.109,194.951291,0
6512,6.648,16.991,10.499,-0.042,-0.095,-0.016,0.098,195.397232,0
6600,5.755,15.747,5.203,0.203,0.122,0.169,0.114,195.846902,0
6776,2.096,7.391,-0.822,-0.016,0.027,0.003,0.248,196.756396,0
7128,4.621,-8.286,-5.29,0.276,0.128,0.156,0.111,198.141339,0
7216,1.053,2.29,2.905,-0.166,-0.054,-0.138,0.204,198.141339,0
7568,11.434,7.819,17.727,-0.091,-0.132,-0.1,0.092,200.010896,0
7744,5.073,11.466,10.378,-0.046,-0.069,-0.091,0.102,200.479584,0
7832,5.871,2.389,13.981,-0.189,-0.159,-0.231,0.099,200.947889,0
7920,10.065,1.587,17.865,0.085,-0.038,0.033,0.108,201.415343,0
8096,3.214,1.104,-0.226,0.042,0.025,-0.016,0.109,201.881473,0
8272,4.597,15.647,0.454,0.078,0.021,0.084,0.085,202.807844,0
8360,4.258,1.859,-3.61,0.031,-0.101,-0.087,0.125,203.267122,0
8448,0.35,5.448,6.018,-0.017,0.068,-0.223,0.187,203.267122,0
8712,6.667,-0.046,-7.623,-0.078,-0.03,-0.092,0.102,204.623556,0
8888,8.483,4.856,-4.892,0.1,0.071,0.071,0.115,205.066983,0
8976,10.394,10.198,20.344,0.154,0.133,0.003,0.084,205.505271,0
9328,7.692,6.639,9.528,0.065,0.041,0.055,0.105,206.784768,0
9416,2.01,4.431,6.187,0.026,0.166,-0.018,0.084,207.198012,0
9504,-0.184,7.78,4.861,-0.008,-0.032,-0.044,0.107,207.603924,0
9592,5.561,-13.665,-1.959,0.137,0.137,0.244,0.109,208.002097,0
9944,-1.974,4.473,-1.696,-0.066,-0.07,0.049,0.097,209.146328,0
10032,12.695,8.572,19.464,0.019,-0.103,0.092,0.097,209.509764,0
10296,4.182,2.221,4.6,0.032,0.041,0.053,0.1,210.207649,0
10472,6.472,5.605,2.538,0.08,0.197,0.199,0.159,210.864861,0
10560,3.098,3.271,9.245,-0.047,-0.114,-0.019,0.069,210.864861,0
10648,0.187,6.314,9.085,0.028,0.122,-0.115,0.086,211.177517,0
10736,12.159,1.99,-8.542,0.016,0.049,0.135,0.089,211.479206,0
10912,4.532,1.738,0.936,-0.08,0.009,-0.004,0.144,211.769698,0
11176,-0.418,7.08,1.201,0.063,0.025,0.056,0.097,212.571978,0
11528,3.311,11.472,2.194,0.066,-0.088,-0.011,0.078,213.267038,0
11616,-4.381,7.844,7.285,0.041,0.075,-0.11,0.082,213.474314,0
11792,1.783,2.441,-3.173,0.015,-0.022,0.112,0.083,213.669241,0
12056,15.951,-3.272,-6.079,-0.063,0.029,-0.051,0.09,214.179442,0
12320,2.401,9.646,12.159,0.034,0.111,0.026,0.092,214.457278,0
12496,-3.486,14.127,-2.29,0.101,-0.078,0.055,0.101,214.685487,0
12584,10.852,3.921,16.617,0.269,0.089,-0.116,0.137,214.685487,0
12760,-4.204,3.559,-0.351,0.027,-0.111,-0.058,0.078,214.864584,0
12936,7.561,-10.46,-5.603,0.139,0.119,-0.115,0.3,214.995369,0
13112,4.782,-0.582,-7.194,0.068,0.085,0.181,0.101,215.042971,0
13288,1.989,14.461,-2.039,-0.064,0.014,-0.012,0.084,215.103397,0
13904,-0.168,6.519,0.995,0.067,-0.061,0.053,0.075,215.118712,0
14080,-5.318,4.509,12.851,-0.114,0.052,-0.155,0.09,215.118712,0
14344,12.552,13.247,18.945,0.215,0.091,-0.057,0.099,215.118712,0
14432,9.39,4.207,16.264,-0.033,0.024,-0.044,0.08,215.118712,0
14520,5.217,3.642,17.607,0.091,0.057,0.092,0.079,215.118712,0
14608,0.051,-0.245,0.94,0.023,0.023,0.018,-0.004,215.118712,0
14784,5.33,0.677,3.983,0.012,0.067,0.067,0.094,215.207263,0
14872,5.263,0.064,14.906,-0.155,0.009,-0.218,0.105,215.440252,0
14960,10.794,35.404,10.657,0.217,-0.064,-0.099,0.078,215.661617,0
15048,16.149,10.273,-8.926,0.098,0.073,0.168,0.143,215.661617,0
15136,-7.401,1.027,-0.461,-0.101,-0.133,-0.008,0.083,215.871448,0
15312,2.087,3.499,2.906,-0.124,-0.039,-0.041,0.101,216.256955,0
15488,13.708,9.698,-5.625,0.002,0.068,0.202,0.12,216.432895,0
15840,2.338,-1.198,0.521,0.121,0.13,0.132,-0.005,217.02836,0
16104,27.086,-0.055,31.232,0.007,-0.072,-0.132,0.102,217.263863,0
16368,4.977,10.077,15.284,-0.058,-0.094,-0.09,0.085,217.460305,0
16544,15.452,7.841,26.082,-0.003,-0.057,0.109,0.072,217.619763,0
16632,-4.951,4.043,10.17,-0.005,0.073,-0.113,0.149,217.686325,0
16896,-0.004,1.502,7.717,-0.113,-0.086,-0.01,0.079,217.794618,0
16984,11.634,8.285,-9.455,-0.331,-0.094,-0.228,0.073,217.83698,0
17424,-8.947,16.333,0.191,-0.002,-0.061,-0.008,0.083,217.935697,0
17600,30.64,6.833,-17.703,-0.045,-0.018,0.074,0.093,217.944456,0
17952,23.809,7.655,23.823,-0.145,0.042,-0.151,0.09,217.947582,0
18040,-5.731,-4.239,-10.582,-0.065,-0.199,-0.067,0.096,217.947582,0
18304,-0.531,0.424,-1.984,0.088,0.09,0.093,-0.004,217.947582,0
18392,24.662,9.317,-12.752,0.067,-0.06,0.097,0.118,217.947582,0
18568,19.586,12.592,25.534,-0.13,-0.039,0.049,0.09,217.947582,0
18920,20.664,2.99,-12.045,-0.083,0.136,0.07,0.09,217.947582,0
19272,25.707,11.677,28.633,0.277,0.157,-0.002,0.09,217.947582,0
19536,0.771,1.139,0.468,0.019,0.029,0.029,-0.004,217.947582,0
19624,-4.289,-2.6,4.385,0.041,-0.125,-0.269,0.12,217.947582,0
19712,-17.989,-3.155,-6.604,-0.005,-0.035,0.095,0.086,217.947582,0
19800,-4.707,1.686,10.308,-0.103,-0.065,-0.15,0.093,217.947582,0
19888,0.767,6.472,3.32,0.016,0.256,0.145,0.093,217.947582,0
20064,-15.481,-0.35,-8.322,-0.081,-0.093,0.092,0.108,217.947582,0
20416,26.016,6.247,-9.404,-0.083,0.031,0.14,0.101,217.947582,0
20680,46.955,1.302,44.36,0.171,-0.07,0.309,0.106,217.947582,0
20768,-1.097,1.626,3.406,-0.089,-0.095,-0.102,-0.004,217.947582,0
21032,22.595,10.545,32.504,-0.029,-0.042,-0.101,0.076,217.947582,0
21824,21.435,9.463,-13.196,-0.025,0.064,0.078,0.092,217.947582,0
21912,-23.584,5.835,-6.543,0.167,-0.048,0.103,0.124,217.947582,0
22528,15.23,14.884,28.809,-0.038,0.108,-0.151,0.108,218.57308,0
22792,2.041,2.533,1.908,0.16,0.136,0.139,-0.003,219.087434,0
22880,54.14,23.675,37.045,0.05,0.091,-0.052,0.086,219.087434,0
23056,-10.339,13.927,6.347,0.182,0.174,0.199,0.106,219.492537,0
23232,61.166,34.71,43.975,-0.085,0.176,-0.03,0.113,219.714542,0
23408,8.546,4.525,1.736,0.087,0.088,0.011,0.114,220.198686,0
23496,25.002,-0.029,-7.948,-0.169,-0.027,-0.057,0.156,220.461288,0
23936,2.101,-11.074,-7.294,0.2,-0.09,0.109,0.129,221.653488,0
24376,15.736,13.529,-11.354,0.098,0.194,0.085,0.118,223.081366,0
24552,40.928,4.116,-24.703,-0.124,0.143,0.092,0.12,223.476342,0
24728,33.949,2.482,-10.63,-0.065,0.079,0.079,0.116,224.312799,0
24816,25.684,14.533,-21.739,-0.106,0.267,0.054,0.171,224.754495,0
25080,-5.535,-9.212,-14.005,0.106,0.027,0.211,0.081,226.117644,0
25432,8.366,3.998,-7.118,0.032,0.101,-0.048,0.106,228.49192,0
25520,31.64,10.308,-17.23,0.125,0.151,0.061,0.114,229.319045,0
25696,-5.289,11.988,-9.132,-0.041,-0.038,0.124,0.105,230.163753,0
