Time,Vib_Spindle,Vib_Table,Sound_Spindle,Sound_table,X_Load_Cell,Y_Load_Cell,Z_Load_Cell,Current,tool_wear,ACTION_CODE
0,3.859297229,5.110828202,2.251766598,0.828701125,-0.001531797,-0.002518548,0.145823021,4.367803514,54.01,0
1,4.18459651,5.147338057,3.861561329,2.049246985,0.005046544,0.005046544,0.201738911,5.523290954,54.01,0
2,3.869493667,4.895387183,2.963958295,1.340181918,0.021163477,0.002415207,0.243182454,3.852061048,54.01,0
3,4.014546221,5.110828202,2.048095371,1.797043506,-0.001531797,0.005704378,0.35008048,5.442706115,54.01,0
4,3.880019022,5.106552273,2.744657787,1.797537054,0.020176726,0.003073041,0.305347767,5.503226973,54.01,0
5,3.967511038,4.888808832,1.513417493,1.868937119,0.013269469,0.007348963,0.265877727,3.971129129,54.01,0
6,3.904358906,5.132536765,2.15075356,1.423262604,0.036293659,0.001099539,0.324424953,5.361134529,54.01,0
7,4.004020865,4.893742595,2.307866679,1.266643177,-0.003505299,-0.006136635,0.35665882,5.30028476,54.01,0
8,4.153678274,4.790462486,3.055923049,1.458798106,-0.00120288,0.009651382,0.357316654,4.090526135,54.01,0
9,3.893833551,4.812828878,2.306056999,2.4435927,0.010638133,-0.001531797,0.29844051,4.35168656,54.01,0
10,3.887913038,4.742111609,1.787830594,1.33573998,0.008664631,-0.00449205,0.226078769,5.846946034,54.01,0
11,3.8852817,5.136483776,3.040952042,3.340207755,0.004388709,0.10306381,0.169176128,4.799672177,54.01,0
12,3.945802492,5.195688949,1.234727035,0.129507548,0.000441705,-0.00778122,0.22936794,5.126945165,66.42,0
13,4.115852774,4.839142282,2.034769549,0.429255934,0.003073041,0.00208629,0.287915166,5.153587492,66.42,0
14,3.966524286,4.961828532,2.186947155,0.56777852,-0.016661979,0.001757373,0.392181856,5.34830674,66.42,0
15,3.788251085,4.979261164,2.939445331,3.059213381,0.008993548,0.000770622,0.356329903,3.884294947,66.42,0
16,3.907976996,5.052938703,2.06734378,2.079682504,0.044187667,-0.001860714,0.382314346,5.707813809,66.42,0
17,4.049411463,5.218055348,2.598731686,1.80082738,0.001099539,-0.068959782,0.368499832,5.030243389,66.42,0
18,3.869493667,4.767109341,2.363802248,1.866633891,0.002415207,0.012611635,0.345475641,4.036583685,66.42,0
19,3.983956906,5.19272869,3.225046108,1.133220549,-0.000545046,0.00208629,0.431980813,5.755835804,66.42,0
20,4.031321007,4.865784603,3.07846182,4.016207189,0.008335714,0.025768315,0.384287848,4.91610899,66.42,0
21,4.040201776,5.142733211,2.419408789,0.998646319,0.002744124,0.008993548,0.311926107,4.261563184,66.42,0
22,4.005665452,5.190755184,3.176678224,3.676644437,0.006033295,-0.045277758,0.290217585,5.925557393,66.42,0
23,4.140192661,5.336465704,2.128543854,0.724397887,-0.00778122,0.005046544,0.306334518,5.758467146,64.23,0
24,3.963892947,4.93222595,3.244788103,2.257524671,0.006033295,0.003073041,0.382314346,5.305547443,64.23,0
25,3.881005774,4.839471199,2.900783947,1.380817421,0.001099539,0.000770622,0.427375975,3.867191246,64.23,0
26,3.65043473,5.068726748,2.648086621,1.79112092,0.006691129,-0.001531797,0.437572402,5.224962618,64.23,0
27,3.988890666,4.91742466,1.572314303,2.348831257,0.000441705,0.001428456,0.379354093,5.727877793,64.23,0
28,3.906990244,5.124642742,1.881769389,1.803624156,-0.008110137,0.005704378,0.390537271,4.044477702,64.23,0
29,3.940539814,4.843747127,3.165984645,3.7987159,0.003730875,-0.008439054,0.409614457,4.835195271,64.23,0
30,3.795158349,4.910517391,2.53259608,2.830370879,-0.007452303,-0.00120288,0.434941066,6.077517441,64.23,0
31,3.806012621,5.261472477,3.043748823,2.26525694,-0.001531797,-0.002847465,0.352053982,4.795725166,64.23,0
32,4.047109041,5.075634018,2.662564069,4.928125463,0.000441705,0.047476837,0.323767119,4.44707262,64.23,0
33,3.998100353,5.216739677,1.802966091,1.903979088,-0.005478801,0.004717627,0.275745237,5.961080519,64.23,0
