Time,force_x,force_y,force_z,vibration_x,vibration_y,vibration_z,acoustic_emission_rms,tool_wear,ACTION_CODE
430,2.02,-4.36,7.73,0.01,0.059,-0.02,0.078,202.250329,0
946,7.48,1.969,-0.165,0.023,-0.026,0.051,0.206,219.216757,0
1634,7.023,7.289,-0.74,-0.058,-0.147,-0.13,0.157,230.934279,0
2494,0.079,5.038,2.103,-0.061,-0.06,0.027,0.108,236.943672,0
4300,3.269,7.008,-0.366,-0.015,-0.037,0.047,0.146,237.390901,0
5676,5.318,9.356,1.555,-0.203,-0.057,-0.219,0.178,240.978452,0
5934,3.291,5.093,8.832,-0.158,-0.026,-0.205,0.093,241.652136,0
6364,5.382,-4.127,13.806,-0.063,0.115,0.073,0.082,242.756286,0
7052,7.349,16.849,5.352,0.057,0.093,0.187,0.172,243.865896,0
7138,0.649,-0.975,-6.705,-0.028,0.075,0.003,0.101,243.994151,0
8600,0.648,-2.03,-4.941,0.008,0.12,0.1,0.108,244.568624,0
8772,10.048,6.837,-7.998,-0.015,0.099,-0.029,0.084,244.568624,0
9632,5.982,2.699,4.411,0.08,-0.059,-0.082,0.202,244.568624,0
9890,9.959,-3.418,20.79,0.095,0.036,-0.117,0.085,244.568624,0
10664,5.111,2.189,5.144,-0.195,-0.127,-0.184,0.112,244.568624,0
11094,15.93,0.763,19.988,0.105,-0.108,-0.083,0.112,244.568624,0
11352,6.237,7.115,0.354,0.14,0.018,0.141,0.103,244.568624,0
11524,-1.194,17.769,0.555,0.057,0.013,-0.095,0.096,244.568624,0
12642,11.772,13.996,14.722,-0.044,-0.007,-0.053,0.132,244.568624,0
13158,1.195,0.518,1.358,-0.033,-0.031,-0.04,-0.005,244.889722,0
13330,-1.355,7.783,4.049,0.015,0.002,0.071,0.112,245.191104,0
17286,8.395,15.428,12.894,-0.083,-0.096,0.027,0.094,254.681915,0
17630,17.282,3.161,-2.193,-0.033,0.011,-0.063,0.112,256.072235,0
18490,24.272,8.627,31.899,-0.04,-0.112,-0.181,0.103,259.894445,0
19522,1.431,3.965,-12.946,-0.068,-0.087,-0.008,0.097,264.23131,0
19780,21.349,34.652,18.716,0.012,0.057,0.069,0.162,265.649696,0
20210,33.134,7.885,32.304,0.048,-0.1,0.003,0.113,267.499668,0
20640,12.194,11.926,-7.161,-0.068,0.169,-0.036,0.202,269.288796,0
20898,28.163,14.077,-16.634,0.011,0.039,-0.099,0.117,270.156362,0
20984,47.812,-4.216,48.065,-0.103,-0.305,-0.228,0.106,270.582744,0
21328,33.367,11.591,30.559,0.12,0.156,0.217,0.129,271.830313,0
22274,16.529,6.676,-10.736,-0.084,-0.027,-0.018,0.118,274.902347,0
23134,-3.863,0.812,15.46,-0.209,0.18,-0.163,0.094,277.569513,0
24338,60.403,27.374,48.93,-0.061,0.079,-0.259,0.11,280.564621,0
24682,-15.122,-9.556,2.611,0.102,-0.245,0.029,0.081,281.255493,0
24768,43.098,8.51,-16.242,0.132,0.193,0.071,0.118,281.474895,0
25198,23.02,2.791,5.199,0.042,0.202,0.125,0.111,282.302069,0
30014,0.846,-0.383,-1.878,0.018,-0.004,-0.011,-0.004,301.370024,1
30530,-16.96,4.692,-24.342,0.188,0.05,0.274,0.102,304.33373,1
30788,-32.309,13.262,-24.054,-0.466,-0.178,0.453,0.205,305.489956,1
31476,-35.045,-22.599,-10.786,0.331,-0.026,-0.16,0.146,309.391028,1
32164,-9.118,-5.257,20.444,0.166,0.099,0.202,0.124,312.543667,1
33024,63.682,16.172,-32.213,0.187,0.108,-0.316,0.151,316.470709,1
33454,-66.236,-19.91,-1.723,0.474,-0.002,-0.466,0.316,318.323002,1
34142,-15.514,16.229,-31.358,-0.127,-0.15,0.134,0.187,320.547017,1
