time,force_x,force_y,force_z,vibration_x,vibration_y,vibration_z,acoustic_emission_rms,tool_wear,ACTION_CODE
0,0.916,4.37,-1.372,0.102,0.041,0.069,0.018,151.416355,0
35,4.503,-1.038,1.088,-0.026,-0.022,0.027,0.03,151.416355,0
70,5.055,5.657,2.566,0.103,0.034,0.086,0.026,151.416355,0
105,0.418,2.316,0.148,-0.03,-0.017,-0.04,0.028,154.89276999999998,0
140,2.808,3.288,0.921,-0.029,-0.027,-0.036,0.023,154.89276999999998,0
175,3.636,-7.877,2.948,-0.042,0.016,-0.059,0.028,158.102847,0
210,2.18,5.63,-1.225,0.088,0.004,0.014,0.066,158.102847,0
245,-0.053,-1.585,0.402,0.011,-0.008,0.004,0.073,158.102847,0
280,5.293,3.382,5.1,-0.005,-0.043,-0.028,0.101,161.061023,0
315,3.061,11.283,-1.75,0.048,0.047,0.069,0.103,161.061023,0
350,-0.504,1.452,3.061,0.074,0.106,0.083,0.075,161.061023,0
385,-0.394,-0.112,0.817,0.037,0.062,0.04,0.081,161.061023,0
420,6.294,3.405,-0.803,0.078,0.016,0.068,0.08,163.781191,0
455,1.897,-0.818,3.878,-0.102,-0.033,-0.105,0.082,163.781191,0
490,1.479,6.754,-0.094,-0.009,-0.07,-0.005,0.079,163.781191,0
525,5.508,16.689,1.303,0.024,0.022,0.014,0.073,166.27671,0
560,0.787,4.709,0.982,0.045,0.006,-0.06,0.096,166.27671,0
595,0.756,-2.996,-0.573,-0.014,-0.033,-0.011,0.079,166.27671,0
630,-0.437,-0.719,-1.244,-0.157,-0.017,-0.132,0.063,168.560421,0
665,1.699,3.13,5.235,-0.033,-0.025,-0.002,0.102,168.560421,0
700,6.227,2.747,-3.341,-0.043,-0.063,-0.021,0.099,168.560421,0
735,0.332,2.938,4.834,-0.043,0.011,-0.038,0.123,170.64466,0
770,8.472,0.859,-1.751,-0.083,-0.181,-0.102,0.097,170.64466,0
805,3.302,-6.618,7.739,0.044,0.023,-0.013,0.072,170.64466,0
840,0.518,1.151,-2.867,-0.1,-0.086,-0.087,-0.005,172.54127599999998,0
875,1.08,2.2,6.685,0.065,-0.046,0.0,0.117,172.54127599999998,0
910,0.925,-0.104,-3.519,-0.084,-0.056,-0.05,0.102,172.54127599999998,0
945,5.754,12.267,1.373,0.018,0.0,0.026,0.164,172.54127599999998,0
980,5.279,9.564,-6.22,-0.087,-0.104,-0.072,0.124,174.261641,0
1015,2.583,-3.327,-4.783,-0.034,0.006,-0.032,0.139,174.261641,0
1050,0.396,4.699,4.531,-0.058,-0.033,-0.122,0.09,174.261641,0
1085,0.009,8.459,-5.591,-0.014,0.091,-0.005,0.111,175.816664,0
1120,4.383,6.331,-2.366,-0.076,-0.001,-0.045,0.12,175.816664,0
1155,2.159,-1.137,2.028,-0.05,0.053,-0.034,0.11,175.816664,0
1190,3.003,6.255,-5.009,-0.048,0.021,-0.035,0.083,177.21680700000002,0
1225,7.955,10.794,0.153,-0.114,-0.109,-0.062,0.145,177.21680700000002,0
1260,0.474,1.021,3.031,0.021,0.04,-0.084,0.118,177.21680700000002,0
1295,3.123,-7.649,9.285,-0.006,-0.051,0.068,0.176,178.472096,0
1330,2.714,8.751,-4.026,-0.042,0.065,0.019,0.126,178.472096,0
1365,3.225,7.687,2.941,0.049,0.037,0.079,0.1,178.472096,0
1400,0.18,0.364,-2.182,0.003,0.006,0.003,-0.004,178.472096,0
1435,10.095,-2.003,-0.727,0.169,0.013,0.163,0.116,179.592133,0
1470,0.229,-1.624,8.835,0.151,-0.002,0.013,0.117,179.592133,0
1505,0.533,3.531,-1.039,0.045,0.015,0.059,0.163,179.592133,0
1540,5.346,-5.951,0.919,0.053,0.031,-0.026,0.124,180.586109,0
1575,-0.437,0.539,8.3,-0.004,-0.025,0.009,0.117,180.586109,0
1610,1.441,3.345,-1.194,-0.015,0.045,-0.009,0.091,180.586109,0
1645,0.143,-0.847,7.114,-0.118,-0.15,-0.118,0.11,181.462818,0
1680,2.367,-3.127,-2.411,-0.041,-0.079,-0.112,0.135,181.462818,0
1715,6.634,12.3,3.991,0.018,-0.053,0.001,0.131,181.462818,0
1750,7.022,21.166,3.304,-0.021,-0.074,-0.073,0.091,182.230668,0
1785,5.136,4.894,2.821,-0.088,-0.07,-0.113,0.141,182.230668,0
1820,5.975,1.251,-4.202,-0.126,-0.121,-0.058,0.119,182.230668,0
1855,5.349,6.246,9.859,0.183,-0.034,0.092,0.2,182.89769,0
1890,6.526,4.794,3.896,0.05,0.057,0.049,0.132,182.89769,0
1925,4.543,-1.366,-4.646,0.021,0.034,0.063,0.116,182.89769,0
1960,-1.305,-0.699,0.481,0.011,0.017,0.01,-0.004,182.89769,0
1995,1.57,1.623,4.053,0.02,0.114,-0.095,0.113,183.471553,0
2030,2.897,-0.766,-2.988,-0.229,-0.198,-0.175,0.127,183.471553,0
2065,6.489,3.446,1.454,-0.124,-0.116,-0.111,0.17,183.471553,0
2100,2.38,2.322,-2.23,-0.065,0.065,-0.002,0.119,183.959575,0
2135,2.823,-3.046,11.978,0.11,0.053,0.027,0.125,183.959575,0
2170,5.814,3.262,-1.188,0.06,0.056,0.04,0.105,183.959575,0
2205,10.251,6.59,-4.706,-0.04,-0.03,0.114,0.105,184.368731,0
2240,5.377,6.807,8.324,-0.156,-0.06,-0.097,0.119,184.368731,0
2275,0.838,8.209,-0.344,-0.015,-0.027,-0.023,0.105,184.368731,0
2310,8.501,22.12,-1.339,-0.015,-0.028,0.029,0.074,184.705665,0
2345,4.856,2.352,3.216,-0.164,-0.154,-0.203,0.084,184.705665,0
2380,5.541,1.715,2.142,0.058,0.084,0.11,0.106,184.705665,0
2415,3.842,-1.693,1.914,-0.147,-0.132,0.0,0.174,184.97670399999998,0
2450,9.236,17.333,1.0,0.041,-0.014,0.029,0.109,184.97670399999998,0
2485,5.016,1.782,2.564,-0.131,-0.072,-0.159,0.104,184.97670399999998,0
2520,0.677,1.277,-1.675,0.028,0.033,0.026,-0.004,184.97670399999998,0
2555,3.894,-10.291,11.435,0.045,0.045,0.017,0.103,185.187863,0
2590,0.17,9.005,-3.753,-0.045,-0.026,-0.028,0.123,185.187863,0
2625,1.878,-0.76,-1.466,-0.016,-0.085,-0.024,0.144,185.187863,0
2660,-1.591,-5.652,-1.698,-0.129,-0.145,-0.215,0.116,185.344857,0
2695,4.183,4.611,7.621,0.113,0.125,0.131,0.108,185.344857,0
2730,10.572,4.716,-1.708,0.024,0.014,0.105,0.087,185.344857,0
2765,7.492,8.747,-5.196,-0.136,-0.1,-0.061,0.099,185.45311299999997,0
2800,5.819,15.071,2.349,-0.039,-0.003,-0.017,0.132,185.45311299999997,0
2835,0.797,4.589,2.501,0.195,0.11,0.025,0.107,185.45311299999997,0
2870,-0.021,-0.388,11.075,0.207,0.048,0.175,0.091,185.517775,0
2905,-1.049,-7.481,-2.136,0.012,0.072,0.047,0.102,185.517775,0
2940,7.454,20.927,9.624,0.042,-0.048,0.017,0.077,185.517775,0
2975,4.489,11.854,-0.044,0.012,0.086,0.122,0.183,185.543719,0
3010,-0.635,3.609,10.701,0.095,-0.089,0.055,0.154,185.543719,0
3045,-1.061,-4.24,-5.521,0.098,0.111,0.109,0.083,185.543719,0
3080,0.669,0.61,-0.303,-0.05,-0.036,-0.046,-0.004,185.543719,0
3115,1.551,7.639,2.923,-0.103,-0.125,-0.144,0.126,185.543719,0
3150,1.847,-3.617,-4.743,0.041,0.089,0.064,0.099,185.543719,0
3185,6.72,9.168,9.293,0.082,-0.155,-0.082,0.139,185.543719,0
3220,8.244,15.437,1.589,-0.038,-0.112,-0.055,0.11,185.543719,0
3255,4.647,0.293,12.66,-0.081,0.038,-0.121,0.135,185.543719,0
3290,3.613,7.871,-3.469,-0.043,-0.141,-0.033,0.085,185.543719,0
3325,3.658,16.287,-4.392,-0.046,-0.051,-0.13,0.138,185.543719,0
3360,-1.226,-2.735,-5.172,0.004,0.078,-0.013,0.123,185.543719,0
3395,5.758,6.274,6.643,-0.045,0.007,-0.146,0.083,185.543719,0
3430,5.126,-4.473,16.321,-0.04,-0.184,-0.151,0.072,185.543719,0
3465,8.527,5.533,-3.263,-0.126,-0.15,-0.028,0.095,185.543719,0
3500,6.546,8.558,11.418,-0.076,-0.092,-0.099,0.107,185.543719,0
3535,1.609,-8.692,11.924,0.055,0.04,0.069,0.157,185.543719,0
3570,-1.536,2.749,-4.458,0.109,0.152,0.145,0.126,185.543719,0
3605,3.619,13.026,7.056,0.048,0.026,0.047,0.109,185.543719,0
3640,0.827,1.529,0.872,0.037,0.037,0.036,-0.004,185.543719,0
3675,3.085,3.65,6.181,-0.05,0.157,-0.135,0.105,185.543719,0
3710,11.442,1.913,-3.625,0.076,-0.04,0.155,0.129,185.543719,0
3745,0.068,2.122,7.659,0.058,0.13,0.015,0.158,185.543719,0
3780,9.436,-4.206,-1.205,0.095,-0.06,0.026,0.101,185.543719,0
3815,5.377,-2.294,14.477,0.1,-0.049,-0.007,0.112,185.543719,0
3850,5.479,8.708,-3.572,-0.011,-0.046,0.054,0.097,185.543719,0
3885,7.319,3.125,-0.861,-0.093,-0.131,-0.152,0.113,185.945969,0
3920,2.45,2.712,5.416,-0.262,-0.153,-0.325,0.131,185.945969,0
3955,3.956,0.002,-1.788,-0.04,-0.095,-0.002,0.098,185.945969,0
3990,0.05,4.19,7.077,-0.097,0.038,-0.174,0.095,186.358367,0
4025,7.189,-1.87,-3.367,0.023,-0.052,0.014,0.111,186.358367,0
4060,6.425,2.258,8.211,-0.12,0.03,-0.103,0.079,186.358367,0
4095,4.962,-8.321,17.957,0.123,-0.043,-0.074,0.113,186.76413300000002,0
4130,7.555,1.659,-4.342,0.088,0.014,0.123,0.111,186.76413300000002,0
