Time,Vib_Spindle,Vib_Table,Sound_Spindle,Sound_table,X_Load_Cell,Y_Load_Cell,Z_Load_Cell,Current,tool_wear,ACTION_CODE
1,3.816537976,5.110499284,1.737159584,4.534929323,0.005046544,-0.110074408,0.194502737,1.428599377,60,0
22,3.794171597,5.021362614,2.564018718,1.355646441,-0.00449205,0.021821311,0.256010217,2.546259633,72,0
25,3.967839955,5.037479576,2.578331648,1.658191782,-0.007123386,0.03728041,0.244498122,1.575296379,72,0
42,3.897451641,5.064121902,2.947342125,2.192211678,0.001428456,0.001099539,0.254036715,1.664761818,131,0
51,3.926396368,5.020704779,2.289440846,2.27068598,-0.00120288,0.011624884,0.229696857,3.249155662,163,0
79,3.949091666,4.977945493,2.661906003,2.695631878,0.011624884,-0.048895845,0.355014235,1.753569424,182,0
88,3.831010338,4.902294452,2.478141145,2.220179458,0.002744124,0.040240663,0.332318961,3.331056055,191,0
89,3.90139865,4.985839515,2.354095781,3.823722457,0.005375461,-0.041001837,0.330345459,2.194318314,191,0
98,4.177360327,5.219371018,1.491701351,3.214681561,0.001428456,-0.058434438,0.35336965,0.438559153,191,0
110,3.943500071,4.750992382,3.186220187,3.845932229,0.003073041,-0.049553679,0.364223911,1.702587279,204,0
146,3.896135972,5.189768431,2.75995782,4.872189583,-0.00449205,-0.098562313,0.405009619,1.01317717,242,0
158,3.87409851,5.120366813,2.810628899,3.144597487,0.004388709,-0.025213821,0.412903627,2.945565073,267,0
162,3.988561749,5.14010187,1.311227066,4.864950823,0.016558639,-0.046593426,0.41915305,-0.344921151,283,0
177,3.795487266,5.159179092,2.107156731,3.295952776,0.007020046,-0.051856098,0.404022868,1.48944903,296,1
194,3.944486823,4.981563587,1.523288466,1.137497969,-0.007452303,0.064580521,0.396786694,3.820156066,301,1
